,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay,Weather,"Mood (1,2,3,4,5::negative,neutral,positive)"
478,,2/24/2018,14:34:08,Driving,1526,0h 3min 2sec,2/24/2018,14:37:10,2/24/2018 14:34,Driving,5, partly-cloudy-day,
479,"11900 Hobby Horse Ct, Austin, TX 78758",2/24/2018,12:32:57,Apartment Building,0,2h 1min 10sec,2/24/2018,14:34:08,2/24/2018 12:32,Radius at the Domain,5, partly-cloudy-day,
480,,2/24/2018,12:26:41,Driving,1383,0h 6min 16sec,2/24/2018,12:32:57,2/24/2018 12:26,Driving,5, partly-cloudy-day,
481,"11005 Burnet Rd, Austin, TX 78758",2/24/2018,9:44:47,Shopping Mall,0,2h 41min 54sec,2/24/2018,12:26:41,2/24/2018 9:44,Edge Eleven,5, clear-day,
482,,2/24/2018,9:33:20,Driving,14112,0h 11min 27sec,2/24/2018,9:44:47,2/24/2018 9:33,Driving,5, clear-day,
483,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/24/2018,0:37:17,Apartment Building,0,8h 56min 2sec,2/24/2018,9:33:20,2/24/2018 0:37,Home,5, cloudy,
484,,2/24/2018,0:23:28,Driving,14701,0h 13min 49sec,2/24/2018,0:37:17,2/24/2018 0:23,Driving,5, cloudy,
485,"11900 Hobby Horse Ct, Austin, TX 78758",2/23/2018,22:09:47,Apartment Building,0,2h 13min 40sec,2/24/2018,0:23:28,2/23/2018 22:09,Radius at the Domain,4, clear-night,
486,,2/23/2018,22:02:44,Driving,5507,0h 7min 2sec,2/23/2018,22:09:47,2/23/2018 22:02,Driving,4, clear-night,
487,"2700 W Anderson Ln, Austin, TX 78757",2/23/2018,19:22:52,Shopping Mall,0,2h 39min 51sec,2/23/2018,22:02:44,2/23/2018 19:22,Village Shopping Center,4, clear-night,
488,,2/23/2018,19:12:45,Driving,153,0h 10min 6sec,2/23/2018,19:22:52,2/23/2018 19:12,Driving,4, clear-night,
489,"2531 W Anderson Ln, Austin, TX 78757",2/23/2018,18:46:20,Clothing Store,0,0h 26min 25sec,2/23/2018,19:12:45,2/23/2018 18:46,Ross Dress for Less,4, partly-cloudy-night,
490,,2/23/2018,18:34:23,Driving,9186,0h 11min 57sec,2/23/2018,18:46:20,2/23/2018 18:34,Driving,4, partly-cloudy-night,
491,"4200 N Lamar Blvd, Austin, TX 78756",2/23/2018,16:54:12,Japanese,0,1h 40min 11sec,2/23/2018,18:34:23,2/23/2018 16:54,Uchiko,4, clear-day,
492,,2/23/2018,16:37:37,Driving,14143,0h 16min 35sec,2/23/2018,16:54:12,2/23/2018 16:37,Driving,4, clear-day,
493,"11900 Hobby Horse Ct, Austin, TX 78758",2/23/2018,15:31:11,Apartment Building,0,1h 6min 26sec,2/23/2018,16:37:37,2/23/2018 15:31,Radius at the Domain,4, partly-cloudy-day,
494,,2/23/2018,15:16:34,Driving,17399,0h 14min 37sec,2/23/2018,15:31:11,2/23/2018 15:16,Driving,4, partly-cloudy-day,
495,"The Bungalows, 2703 Swisher St, Austin, TX 78705",2/23/2018,14:12:10,Apartment Building,0,1h 4min 23sec,2/23/2018,15:16:34,2/23/2018 14:12,Home,4, partly-cloudy-day,
496,,2/23/2018,13:53:18,Driving,1854,0h 18min 52sec,2/23/2018,14:12:10,2/23/2018 13:53,Driving,4, clear-day,
